x1,y1,x2,y2,Class,image,Probability
39,116,569,375,14_8,00001.jpg,0.9350605
36,116,868,587,3_0,00002.jpg,0.95433474
85,109,601,381,91_6,00003.jpg,0.9583676
621,393,1484,1096,134_6,00004.jpg,0.98416674
14,36,133,99,106_7,00005.jpg,0.9113215
259,289,515,416,123_6,00006.jpg,0.9761212
88,80,541,397,89_1,00007.jpg,0.98587066
73,79,591,410,96_6,00008.jpg,0.977
20,126,1269,771,167_7,00009.jpg,0.68749064
21,110,623,367,58_7,00010.jpg,0.9642259
51,93,601,393,49_8,00011.jpg,0.9193593
6,62,499,286,186_7,00012.jpg,0.728478
30,36,418,307,135_7,00013.jpg,0.7645701
31,246,778,540,85_8,00014.jpg,0.9225948
32,77,589,379,193_5,00015.jpg,0.9854451
27,49,611,396,172_6,00016.jpg,0.99423534
39,52,233,150,14_8,00017.jpg,0.9876654
3,8,190,147,73_8,00018.jpg,0.9558236
247,287,1366,761,192_6,00019.jpg,0.9909576
17,281,961,596,57_8,00020.jpg,0.9833677
17,156,695,375,79_8,00021.jpg,0.98217195
212,538,1893,1131,36_0,00022.jpg,0.99855417
11,28,476,234,120_0,00023.jpg,0.9836578
53,126,973,621,170_8,00024.jpg,0.8422324
34,87,567,343,194_7,00025.jpg,0.5306064
30,174,598,379,134_7,00026.jpg,0.95496494
80,107,606,336,184_7,00027.jpg,0.548633
45,115,585,382,86_1,00028.jpg,0.808756
28,139,1564,1126,180_6,00029.jpg,0.77016586
82,109,874,521,194_8,00030.jpg,0.9840895
55,318,446,564,154_7,00031.jpg,0.78908706
12,31,471,350,139_1,00032.jpg,0.990317
34,197,1011,656,66_8,00033.jpg,0.9036469
37,63,614,397,133_2,00034.jpg,0.87643874
223,87,1111,670,154_8,00035.jpg,0.64460486
138,41,521,223,104_6,00036.jpg,0.9668679
31,87,616,344,38_0,00037.jpg,0.5227159
16,89,459,326,97_0,00038.jpg,0.99730325
53,113,614,350,105_7,00039.jpg,0.91414255
214,110,660,403,142_7,00040.jpg,0.9469221
61,55,566,408,13_0,00041.jpg,0.9715461
28,61,622,371,191_4,00042.jpg,0.5772089
22,39,588,362,119_7,00043.jpg,0.73754185
220,193,537,364,38_6,00044.jpg,0.9449614
12,108,489,297,186_4,00045.jpg,0.5853868
28,80,759,466,25_6,00046.jpg,0.5733635
84,248,1102,899,194_7,00047.jpg,0.61858284
142,69,753,451,177_0,00048.jpg,0.9710844
166,543,887,903,173_1,00049.jpg,0.99803334
20,96,564,341,42_0,00050.jpg,0.99386346
41,181,607,465,91_6,00051.jpg,0.8738007
39,29,774,395,148_0,00052.jpg,0.7398462
161,191,425,307,15_5,00053.jpg,0.73754007
58,562,1528,1081,97_9,00054.jpg,0.9992163
80,120,582,391,42_3,00055.jpg,0.66770506
32,48,472,267,53_0,00056.jpg,0.76668173
260,138,972,439,44_8,00057.jpg,0.85720754
11,35,256,173,65_4,00058.jpg,0.4856596
68,91,607,354,90_8,00059.jpg,0.8999905
129,120,345,269,124_7,00060.jpg,0.48131865
11,104,1011,742,114_2,00061.jpg,0.67257386
19,21,425,265,190_7,00062.jpg,0.7191016
175,330,928,647,101_8,00063.jpg,0.8597933
97,39,925,700,187_4,00064.jpg,0.96872675
63,175,417,320,8_1,00065.jpg,0.99602675
30,39,221,125,17_4,00066.jpg,0.35090345
129,89,594,432,111_8,00067.jpg,0.8813395
32,43,598,350,122_7,00068.jpg,0.90808916
142,124,675,445,5_7,00069.jpg,0.93191284
220,313,1054,976,29_6,00070.jpg,0.84091616
8,12,639,299,126_2,00071.jpg,0.9726595
92,271,1178,749,94_6,00072.jpg,0.9691869
15,12,314,230,106_7,00073.jpg,0.94969624
14,12,309,223,106_7,00074.jpg,0.5244919
45,74,522,253,188_6,00075.jpg,0.89903444
12,27,284,166,59_7,00076.jpg,0.84915185
25,25,3502,2017,110_7,00077.jpg,0.8536014
36,88,611,417,43_7,00078.jpg,0.69072443
165,126,749,425,133_2,00079.jpg,0.99621224
20,21,292,217,111_0,00080.jpg,0.62871516
10,55,540,271,8_0,00081.jpg,0.9708872
63,113,597,413,192_1,00082.jpg,0.9417217
55,48,294,205,18_0,00083.jpg,0.5968952
27,67,620,474,116_8,00084.jpg,0.63028526
15,80,629,402,49_6,00085.jpg,0.99656254
119,300,1416,871,145_8,00086.jpg,0.9504504
17,36,455,215,49_2,00087.jpg,0.9995535
171,176,2373,1751,170_0,00088.jpg,0.723433
49,195,1003,617,20_0,00089.jpg,0.9956214
5,43,296,211,114_7,00090.jpg,0.70114166
49,57,494,419,165_7,00091.jpg,0.94316655
101,84,492,272,138_6,00092.jpg,0.99334985
23,53,258,144,175_8,00093.jpg,0.7552362
19,60,783,440,112_0,00094.jpg,0.70270014
110,171,1213,648,122_6,00095.jpg,0.8235358
39,67,346,206,104_6,00096.jpg,0.9957014
3,7,76,50,57_8,00097.jpg,0.97054994
65,37,578,360,51_8,00098.jpg,0.97328734
27,60,486,364,37_7,00099.jpg,0.96581274
22,180,454,355,71_7,00100.jpg,0.64516985
70,39,940,742,193_6,00101.jpg,0.9875238
99,130,396,222,105_4,00102.jpg,0.7146166
85,107,609,381,61_6,00103.jpg,0.8803719
1,76,480,315,74_4,00104.jpg,0.39908612
57,266,967,623,133_7,00105.jpg,0.7639473
69,75,236,161,162_0,00106.jpg,0.96575814
24,17,249,163,131_1,00107.jpg,0.9918949
7,27,212,147,88_8,00108.jpg,0.9297341
18,14,248,168,121_6,00109.jpg,0.92509073
19,2,591,387,180_6,00110.jpg,0.3673639
52,6,759,513,180_5,00111.jpg,0.98860556
231,103,430,226,137_0,00112.jpg,0.98130816
91,148,700,582,133_8,00113.jpg,0.7394034
19,72,624,397,71_8,00114.jpg,0.9525518
26,90,376,243,83_6,00115.jpg,0.9657601
132,120,667,401,110_2,00116.jpg,0.9843395
84,44,663,342,42_6,00117.jpg,0.9994469
87,235,591,412,177_8,00118.jpg,0.9835601
173,370,1207,960,147_8,00119.jpg,0.9141756
3,19,195,114,161_6,00120.jpg,0.9878807
49,143,487,455,109_2,00121.jpg,0.9519958
72,67,233,176,28_6,00122.jpg,0.7736625
151,568,1954,1271,144_1,00123.jpg,0.9972186
14,88,271,178,53_0,00124.jpg,0.99812514
135,761,1894,1353,29_6,00125.jpg,0.8601109
44,123,778,487,66_9,00126.jpg,0.99950886
69,103,537,322,79_0,00127.jpg,0.9984824
86,78,355,284,13_7,00128.jpg,0.98468035
50,80,592,273,136_6,00129.jpg,0.62528914
95,161,543,368,143_1,00130.jpg,0.9025124
275,195,863,474,171_0,00131.jpg,0.831171
99,78,557,389,89_4,00132.jpg,0.5440583
11,126,426,360,135_6,00133.jpg,0.74670833
1,2,267,185,161_3,00134.jpg,0.502477
19,735,2669,2192,58_6,00135.jpg,0.62916875
21,35,279,195,122_0,00136.jpg,0.87794524
45,99,593,403,178_8,00137.jpg,0.9794509
130,282,1425,900,56_1,00138.jpg,0.9992587
72,215,628,481,184_7,00139.jpg,0.8742495
62,95,633,434,191_6,00140.jpg,0.9810548
13,106,476,260,40_0,00141.jpg,0.89264995
78,300,952,633,60_6,00142.jpg,0.97522426
72,51,566,412,155_1,00143.jpg,0.9940445
66,59,283,202,71_7,00144.jpg,0.9346617
135,36,1181,885,140_7,00145.jpg,0.6244087
2,5,298,162,42_7,00146.jpg,0.72802866
8,12,770,309,76_7,00147.jpg,0.9534619
24,78,608,379,187_6,00148.jpg,0.9967248
34,1,242,179,86_7,00149.jpg,0.53199255
11,208,596,386,8_0,00150.jpg,0.97858036
8,37,294,150,5_7,00151.jpg,0.89399034
23,66,499,311,47_8,00152.jpg,0.6414258
6,138,627,361,30_1,00153.jpg,0.99419147
17,105,385,243,18_8,00154.jpg,0.46127775
76,4,1585,1120,149_0,00155.jpg,0.524225
22,21,211,139,174_8,00156.jpg,0.98408324
32,130,973,661,138_2,00157.jpg,0.34754848
75,236,1196,846,179_2,00158.jpg,0.49160504
37,139,988,694,24_0,00159.jpg,0.9924076
114,46,546,287,42_4,00160.jpg,0.579803
12,83,629,354,73_4,00161.jpg,0.50483954
38,66,548,385,176_0,00162.jpg,0.9490928
46,84,661,428,1_7,00163.jpg,0.685131
13,29,239,174,37_2,00164.jpg,0.47039223
27,65,490,220,36_0,00165.jpg,0.9886126
4,69,402,245,108_6,00166.jpg,0.9220931
19,27,429,258,41_0,00167.jpg,0.728763
110,96,565,389,40_0,00168.jpg,0.92944735
2,22,140,81,119_2,00169.jpg,0.8307611
48,71,615,453,119_8,00170.jpg,0.8943851
41,42,262,170,19_8,00171.jpg,0.5449174
6,108,493,267,163_7,00172.jpg,0.7222972
26,61,508,342,120_0,00173.jpg,0.9987457
13,29,249,159,54_2,00174.jpg,0.84988093
69,120,739,502,116_8,00175.jpg,0.5391965
45,85,1005,558,66_6,00176.jpg,0.7665605
98,22,650,302,50_2,00177.jpg,0.9995067
5,28,285,148,122_5,00178.jpg,0.9568919
42,113,601,439,155_0,00179.jpg,0.897795
3,40,297,157,142_7,00180.jpg,0.79814243
84,256,913,752,68_0,00181.jpg,0.9919185
43,226,1001,630,170_7,00182.jpg,0.86209494
2,9,196,125,161_8,00183.jpg,0.80937314
34,51,604,344,161_4,00184.jpg,0.7500421
24,35,620,438,133_2,00185.jpg,0.9941791
6,72,255,178,125_6,00186.jpg,0.75738543
4,408,1600,934,160_5,00187.jpg,0.9901378
25,162,1241,764,93_8,00188.jpg,0.8636937
18,15,583,421,183_7,00189.jpg,0.9545575
198,416,1271,935,45_7,00190.jpg,0.48207444
129,75,654,422,143_7,00191.jpg,0.7769515
37,24,259,212,189_0,00192.jpg,0.6657537
82,107,990,723,48_0,00193.jpg,0.9000887
187,327,1211,769,176_4,00194.jpg,0.5965377
150,339,1313,771,77_7,00195.jpg,0.9924839
26,46,266,213,190_4,00196.jpg,0.70337546
47,102,492,371,110_7,00197.jpg,0.32936108
91,121,574,357,6_8,00198.jpg,0.9742166
151,298,1285,835,191_3,00199.jpg,0.92327064
30,55,301,187,16_3,00200.jpg,0.550752
21,1,386,200,12_0,00201.jpg,0.7458315
233,217,1228,807,90_1,00202.jpg,0.9914225
30,167,945,545,188_6,00203.jpg,0.9583491
11,61,284,151,128_6,00204.jpg,0.9877152
29,70,612,356,23_8,00205.jpg,0.86655986
117,222,558,434,11_5,00206.jpg,0.7776406
31,119,438,258,93_3,00207.jpg,0.99996066
26,151,360,256,8_0,00208.jpg,0.9124187
58,136,973,636,63_8,00209.jpg,0.9863794
8,80,639,366,173_0,00210.jpg,0.9822859
11,47,598,365,176_0,00211.jpg,0.9614596
8,20,254,155,72_6,00212.jpg,0.95369774
37,62,261,191,195_4,00213.jpg,0.53137714
70,78,915,640,114_0,00214.jpg,0.67313534
38,50,221,138,72_8,00215.jpg,0.9843125
21,45,133,88,119_8,00216.jpg,0.6628783
45,39,594,444,18_3,00217.jpg,0.98779744
39,94,337,245,77_7,00218.jpg,0.9581083
89,1,597,316,18_8,00219.jpg,0.85303307
16,103,462,347,107_0,00220.jpg,0.5941914
29,21,477,299,10_8,00221.jpg,0.9405475
89,58,545,338,196_6,00222.jpg,0.91866624
